Sheet Product name,DB Product name,Sheet Variant name,DB Variant name,Sheet SKU,DB SKU,Match score,Match type,Notes
Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls,Green / 4in,Green / 4 in,MI-SB-SS-G-4,MI-SB-SS-G-4,98.9,sku_exact_text_diff,Variant name differs
Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls,Green / 5.5in,Green / 5.5 in,MI-SB-SS-G-5.5,MI-SB-SS-G-5.5,99.1,sku_exact_text_diff,Variant name differs
Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls,Gold / 3.5 Inches,Gold / 3.5 in,MI-SB-SS-GO-3.5,MI-SB-SS-GO-3.5,96.7,sku_exact_text_diff,Variant name differs
Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls,Gold / 4 Inches,Gold / 4 in,MI-SB-SS-GO-4,MI-SB-SS-GO-4,96.1,sku_exact_text_diff,Variant name differs
Sacred Symbols Singing Bowls,Sacred Symbols Singing Bowls,Gold / 5.5 Inches,Gold / 5.5 in,MI-SB-SS-GO-5.5,MI-SB-SS-GO-5.5,96.7,sku_exact_text_diff,Variant name differs
Handmade Singing Bowls - All Sizes,Handmade Singing Bowls - All Sizes,Matte / 8in,8 in / Matte,MI-SB-HM-8,MI-SB-HM-8,98.9,sku_exact_text_diff,Variant name differs
Handmade Singing Bowls - All Sizes,Handmade Singing Bowls - All Sizes,Matte / 13in,13 in / Matte,MI-SB-HM-13,MI-SB-HM-13,99,sku_exact_text_diff,Variant name differs
GAB Set,"Singing Bowl Head Set – G, A, B",,,MI-SB-GAB-SET3,MI-SB-GAB-SET3,86,sku_exact_text_diff,Product name differs
Singing Bowls Silk Ring Cushion Accessories,Singing Bowls Silk Ring Cushion Accessories,Blue / 20cms,Blue / 18cms,MI-SBC-B-20,MI-SBC-B-20,95.8,sku_exact_text_diff,Variant name differs
Native American Flute - Triple,Native American Style Flutes,Triple,Triple,MI-NF-T,MI-NF-T,94,sku_exact_text_diff,Product name differs
Native American Flute - Double,Native American Style Flutes,Double,Double,MI-NF-D,MI-NF-D,90.3,sku_exact_text_diff,Product name differs
Native American Flute - Single Large,Native American Style Flutes,Single Large,Single Large,MI-NF-S-L,MI-NF-S-L,92.3,sku_exact_text_diff,Product name differs
Native American Flute - Single Medium,Native American Style Flutes,Single Medium,Single Medium,MI-NF-S-M,MI-NF-S-M,91.9,sku_exact_text_diff,Product name differs
Native American Flute - Single Small,Native American Style Flutes,Single Small,Single Small,MI-NF-S-S,MI-NF-S-S,92.3,sku_exact_text_diff,Product name differs
Ocarina - Small,Clay Ocarinas,Small,Small,MI-OC-S,MI-OC-S,85,sku_exact_text_diff,Product name differs
Ocarina - Big,Clay Ocarinas,Big,Big,MI-OC-B,MI-OC-B,86.5,sku_exact_text_diff,Product name differs
Bar Chime - 25 Rods,25 Rods – Bar Chime,,,MI-BC-25,MI-BC-25,98.2,sku_exact_text_diff,Product name differs
Guiro,Wooden Guiro,,,MI-GRO,MI-GRO,100,sku_exact_text_diff,Product name differs
Khartal*3,Wooden Hand Khartal/Jingles,,,MI-KL,MI-KL,78.6,sku_exact_text_diff,Product name differs
Jingle Stick,Sleigh Bells Wooden Jingle Stick,,,MI-JE-S,MI-JE-S,100,sku_exact_text_diff,Product name differs
