slug,name,woo_id,status,product_type,hsn_code,tax_class,desc_len,short_len,video_url,audio_url,variant_count,product_images,variant_images,accordion_count,shipping_rate_rows,article_slug_count,relation_count,catalog_hidden
crystal-bowls-set-of-7,Crystal Bowls - Set of 7,43219,ACTIVE,VARIABLE,"",gst18,0,380,"","",4,16,0,7,16,0,4,false
crystal-bowl-with-handle,Crystal Bowl with Handle,45661,ACTIVE,SIMPLE,"",gst18,562,562,"","",1,6,0,7,4,0,4,false
crystal-pyramid,Crystal Pyramid,45654,ACTIVE,VARIABLE,"",gst18,415,404,"","",2,6,0,7,8,0,4,false
djembe-drums,Djembe Drums,44969,ACTIVE,VARIABLE,"",standard,630,498,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/03/Djembe-8-inch.mp3,8,2,0,7,32,0,0,false
dotted-singing-bowl,Dotted Singing Bowl,6892,ACTIVE,VARIABLE,"",gst-5,0,0,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Machinemade-4-inch.mp3,3,1,3,7,12,0,5,false
dumru-dumroo-indian-handmade-percussion-instrument,Dumru/Dumroo Indian Handmade Percussion Instrument,5740,ACTIVE,VARIABLE,"",gst-5,0,650,"","",2,1,0,7,8,0,0,false
eco-friendly-neem-wood-toothbrush,Eco-Friendly Neem Wood Toothbrush,5037,ACTIVE,VARIABLE,"",gst-5,0,476,"","",2,8,2,7,8,0,6,false
egg-shaker-with-handle,Egg Shaker with Handle,7396,ACTIVE,SIMPLE,"",gst-5,0,852,"","",1,9,0,7,4,0,4,false
elemental-chimes,Elemental Chimes,45194,ACTIVE,SIMPLE,"",gst-5,524,526,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2025/04/koshi-chime-1-1.mp3,1,3,0,7,4,0,4,false
etched-handmade-singing-bowls,Etched Handmade Singing Bowls,9795,ACTIVE,VARIABLE,"",gst-5,0,877,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/05/Handmade-B-7-inch.mp3,78,20,62,7,312,0,7,false
etched-plain-wind-gong,Etched Plain/Wind Gong,8846,ACTIVE,VARIABLE,"",gst-5,8,435,"",https://sarveda-media.s3.amazonaws.com/media/wp/uploads/2024/01/18-inch-Chakra-Gong.mp3,64,12,54,7,256,0,6,false
event-checkout-antar-mauna-a-new-moon-sonic-journey,Antar Mauna - New Moon Inner Silence Experience,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,65,"","",1,1,0,0,0,0,0,true
event-checkout-drum-circle-with-arjun-xenkat,Drum Circle with Arjun & Xenkat,"",ACTIVE,DIGITAL,"",gst-zero-rate,0,49,"","",1,1,0,0,0,0,0,true
