action_group,product_slug,product_name,db_variant_name,sheet_variant_name,db_sku,sheet_sku,action_needed,variant_axis_order
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Teal / Superior,Teal/ Superior,Yo-M-C-HG-T,YO-M-CT-7C-S-T,"update_variant_label_order,update_sku",
fuzzy_variant_order,7-chakras-yoga-mats,7 Chakras Yoga Mats,Yellow / Superior,Yellow / Superior,Yo-M-C-HG-Y,YO-M-CT-7C-S-Y,update_sku,
fuzzy_variant_order,djembe-drums,Djembe Drums,Ivory / 10in,10in / Ivory,MI-DJB-I-10,MI-DJB-I-10,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Mahogany / 10in,10in / Mahogany,MI-DJB-M-10,MI-DJB-M-10,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Ivory / 12in,12in / Ivory,MI-DJB-I-12,MI-DJB-I-12,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Mahogany / 12in,12in / Mahogany,MI-DJB-M-12,MI-DJB-M-12,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Ivory / 14in,14in / Ivory,MI-DJB-I-14,MI-DJB-I-14,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Mahogany / 14in,14in / Mahogany,MI-DJB-M-14,MI-DJB-M-14,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Ivory / 8in,8in / Ivory,MI-DJB-I-8,MI-DJB-I-8,update_variant_label_order,
fuzzy_variant_order,djembe-drums,Djembe Drums,Mahogany / 8in,8in / Mahogany,MI-DJB-M-8,MI-DJB-M-8,update_variant_label_order,
fuzzy_variant_order,tuning-forks-7-chakra-set,Tuning Forks 7 Chakra Set,With Gem Foot / Colour Unweighted,Colour Unweighted / With Gem Foot,MI-TF-C-UW-GF,MI-TF-7C-C-UW-GF-SET7,"update_variant_label_order,update_sku",
