sku,sheet_name,sheet_variant,sheet_invoiced,ls_product_slug,ls_sale,ls_mrp,ls_status,price_match
CB-CVDG-B,"Grooved, Hammered & Plain Copper Bottle",Diamond Groove / Vintage / With Brush,520.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-CVH,"Grooved, Hammered & Plain Copper Bottle",Without Brush / Curved Hammered / Vintage,520.0,grooved-hammered-plain-copper-bottle,1099.0,1429.0,ACTIVE,False
CB-CVH-B,"Grooved, Hammered & Plain Copper Bottle",Curved Hammered / Vintage / With Brush,510.0,grooved-hammered-plain-copper-bottle,1199.0,1559.0,ACTIVE,False
CB-T-B-.5,Artistically Designed Copper Bottles,Tatvamasi - I am Infinite / With Brush / 500ml,390.0,artistically-designed-copper-bottles,985.0,1281.0,ACTIVE,False
CB-BM,Artistically Designed Copper Bottles,Without Brush / 1L / Blue Tranquillity,460.0,artistically-designed-copper-bottles,1245.0,1619.0,ACTIVE,False
CB-BM-.5,Artistically Designed Copper Bottles,Without Brush / Blue Tranquillity / 500ml,390.0,artistically-designed-copper-bottles,890.0,1157.0,ACTIVE,False
CB-BM-B,Artistically Designed Copper Bottles,1L / With Brush / Blue Tranquillity,460.0,artistically-designed-copper-bottles,1345.0,1749.0,ACTIVE,False
CB-BM-B-.5,Artistically Designed Copper Bottles,With Brush / Blue Tranquillity / 500ml,390.0,artistically-designed-copper-bottles,985.0,1281.0,ACTIVE,False
CB-HW,Artistically Designed Copper Bottles,Without Brush / 1L / Happiness is inside,460.0,artistically-designed-copper-bottles,1245.0,1619.0,ACTIVE,False
CB-HW-.5,Artistically Designed Copper Bottles,Without Brush / Happiness is inside / 500ml,390.0,artistically-designed-copper-bottles,890.0,1157.0,ACTIVE,False
CB-HW-B,Artistically Designed Copper Bottles,1L / Happiness is inside / With Brush,460.0,artistically-designed-copper-bottles,1345.0,1749.0,ACTIVE,False
CB-HW-B.-.5,Artistically Designed Copper Bottles,Happiness is inside / With Brush / 500ml,390.0,artistically-designed-copper-bottles,985.0,1281.0,ACTIVE,False
CB-OL,Artistically Designed Copper Bottles,Without Brush / Sunshine within me / 1L,460.0,artistically-designed-copper-bottles,1245.0,1619.0,ACTIVE,False
CB-OL-.5,Artistically Designed Copper Bottles,Without Brush / Sunshine within me / 500ml,390.0,artistically-designed-copper-bottles,845.0,1099.0,ACTIVE,False
CB-OL-B,Artistically Designed Copper Bottles,Sunshine within me / 1L / With Brush,460.0,artistically-designed-copper-bottles,1345.0,1749.0,ACTIVE,False
CB-OL-B-.5,Artistically Designed Copper Bottles,Sunshine within me / With Brush / 500ml,390.0,artistically-designed-copper-bottles,985.0,1281.0,ACTIVE,False
CB-PNT,Artistically Designed Copper Bottles,Without Brush / Pink & Positive / 1L,460.0,artistically-designed-copper-bottles,1245.0,1619.0,ACTIVE,False
CB-PNT-.5,Artistically Designed Copper Bottles,Without Brush / Pink & Positive / 500ml,390.0,artistically-designed-copper-bottles,890.0,1157.0,ACTIVE,False
CB-PNT-B,Artistically Designed Copper Bottles,Pink & Positive / 1L / With Brush,460.0,artistically-designed-copper-bottles,1345.0,1749.0,ACTIVE,False
CB-PNT-B-.5,Artistically Designed Copper Bottles,Pink & Positive / With Brush / 500ml,390.0,artistically-designed-copper-bottles,985.0,1281.0,ACTIVE,False
CB-T,Artistically Designed Copper Bottles,Tatvamasi - I am Infinite / Without Brush / 1L,460.0,artistically-designed-copper-bottles,1245.0,1619.0,ACTIVE,False
CB-T-.5,Artistically Designed Copper Bottles,Tatvamasi - I am Infinite / Without Brush / 500ml,390.0,artistically-designed-copper-bottles,890.0,1157.0,ACTIVE,False
CB-T-B,Artistically Designed Copper Bottles,Tatvamasi - I am Infinite / 1L / With Brush,460.0,artistically-designed-copper-bottles,1345.0,1749.0,ACTIVE,False
CB-BJ,Ayurvedic Copper Bedroom Jar,Standard,590.0,ayurvedic-copper-bedroom-jar,1245.0,1619.0,ACTIVE,False
GP-CB-7C-C-2G,Copper Bottle Gift Set - 7 Chakra,Gold,690.0,copper-bottle-gift-set-7-chakra,1750.0,2150.0,ACTIVE,False
