product_slug,sku,is_default,status,mrp_paise,sale_paise,mrp_usd_cents,sale_usd_cents,video_url,variant_images,attrs,shipping_rows
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Navy Blue;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Navy Blue;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-NB-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Navy Blue;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Orange;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Orange;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Orange;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Orange;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Orange;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Orange;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-O-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Orange;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Pink;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Pink;size=12 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-14,false,ACTIVE,38400,29500,730,650,"",1,colour=Pink;size=14 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-16,false,ACTIVE,42300,32500,780,700,"",1,colour=Pink;size=16 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-18,false,ACTIVE,44900,34500,840,750,"",1,colour=Pink;size=18 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-20,false,ACTIVE,54500,49500,1000,890,"",1,colour=Pink;size=20 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-PK-22,false,ACTIVE,65500,59500,1110,990,"",1,colour=Pink;size=22 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-10,false,ACTIVE,31900,24500,620,550,"",1,colour=Red;size=10 cms,4
singing-bowls-silk-ring-cushion-accessories,MI-SB-C-R-12,false,ACTIVE,35800,27500,670,600,"",1,colour=Red;size=12 cms,4
